"","site","topography","plot","year","season","tree","canopyPosition","treatment","genus","specie","C","N","CN","CP","NP","P"
"1","Nouragues","Bottom","3","2019","Dry","32","Top","P","Eperua","falcata",50.005,1.791,27.922,591.58,21.187,0.085
"2","Nouragues","Bottom","3","2019","Dry","32","Down","P","Eperua","falcata",49.52,2.013,24.602,484.013,19.674,0.102
"3","Nouragues","Bottom","3","2019","Wet","32","Top","P","Eperua","falcata",50.638,1.825,27.754,492.429,17.743,0.103
"4","Nouragues","Bottom","3","2019","Wet","32","Down","P","Eperua","falcata",51.084,1.958,26.084,345.381,13.241,0.148
"5","Nouragues","Bottom","3","2019","Dry","33","Top","P","Dicorynia","guianensis",50.127,2.161,23.191,707.061,30.489,0.071
"6","Nouragues","Bottom","3","2019","Dry","33","Down","P","Dicorynia","guianensis",50.547,2.012,25.127,778.826,30.995,0.065
"7","Nouragues","Bottom","3","2019","Wet","33","Top","P","Dicorynia","guianensis",51.068,2.121,24.082,696.852,28.936,0.073
"8","Nouragues","Bottom","3","2019","Wet","33","Down","P","Dicorynia","guianensis",51.414,2.24,22.951,680.563,29.653,0.076
"9","Paracou","Bottom","1","2019","Dry","37","Top","N","Drypetes","variabilis",44.577,1.435,31.056,764.674,24.623,0.058
"10","Paracou","Bottom","1","2019","Dry","37","Down","N","Drypetes","variabilis",44.543,1.699,26.21,679.032,25.907,0.066
"11","Paracou","Bottom","1","2019","Wet","37","Top","N","Drypetes","variabilis",49.619,2.117,23.437,909.853,38.822,0.055
"12","Paracou","Bottom","1","2019","Wet","37","Down","N","Drypetes","variabilis",49.665,1.642,30.239,764.733,25.289,0.065
"13","Nouragues","Bottom","2","2019","Dry","37","Top","NP","Oxandra","asbeckii",45.172,1.869,24.175,755.094,31.234,0.06
"14","Nouragues","Bottom","2","2019","Dry","37","Down","NP","Oxandra","asbeckii",46.707,2.264,20.627,736.82,35.722,0.063
"15","Nouragues","Bottom","2","2019","Wet","37","Top","NP","Oxandra","asbeckii",47.481,1.93,24.606,808.022,32.838,0.059
"16","Nouragues","Bottom","2","2019","Wet","37","Down","NP","Oxandra","asbeckii",46.671,2.179,21.416,641.704,29.963,0.073
"17","Nouragues","Bottom","2","2019","Dry","38","Top","NP","Paloue","guianensis",47.137,2.598,18.146,388.791,21.426,0.121
"18","Nouragues","Bottom","2","2019","Dry","38","Down","NP","Paloue","guianensis",47.788,2.336,20.456,414.429,20.259,0.115
"19","Nouragues","Bottom","2","2019","Wet","38","Top","NP","Paloue","guianensis",48.167,2.827,17.04,301.093,17.67,0.16
"20","Nouragues","Bottom","2","2019","Wet","38","Down","NP","Paloue","guianensis",49.222,3.415,14.415,275.678,19.125,0.179
"21","Paracou","Slope","2","2019","Dry","38","Top","NP","Thyrsodium","guianense",49.175,1.34,36.705,898.478,24.478,0.055
"22","Paracou","Slope","2","2019","Dry","38","Down","NP","Thyrsodium","guianense",50.312,1.324,37.997,1122.603,29.544,0.045
"23","Paracou","Slope","2","2019","Wet","38","Top","NP","Thyrsodium","guianense",51.882,1.343,38.624,977.552,25.309,0.053
"24","Paracou","Slope","2","2019","Wet","38","Down","NP","Thyrsodium","guianense",52.309,1.28,40.852,1017.93,24.918,0.051
"25","Nouragues","Bottom","3","2019","Dry","39","Top","P","Brosimum","guianense",42.859,1.682,25.478,662.814,26.015,0.065
"26","Nouragues","Bottom","3","2019","Dry","39","Down","P","Brosimum","guianense",42.257,1.588,26.602,700.5,26.332,0.06
"27","Nouragues","Bottom","3","2019","Wet","39","Top","P","Brosimum","guianense",46.126,1.754,26.298,739.428,28.117,0.062
"28","Nouragues","Bottom","3","2019","Wet","39","Down","P","Brosimum","guianense",45.511,1.85,24.605,708.033,28.776,0.064
"29","Paracou","Bottom","2","2019","Dry","42","Top","NP","Sloanea",NA,51.98,1.201,43.264,970.715,22.437,0.054
"30","Paracou","Bottom","2","2019","Dry","42","Down","NP","Sloanea",NA,50.078,1.536,32.613,527.33,16.169,0.095
"31","Paracou","Bottom","2","2019","Wet","42","Top","NP","Sloanea",NA,51.369,1.328,38.668,792.876,20.505,0.065
"32","Paracou","Bottom","2","2019","Wet","42","Down","NP","Sloanea",NA,51.062,1.309,39.018,1037.93,26.601,0.049
"33","Paracou","Bottom","2","2019","Dry","44","Top","NP","Gustavia","hexapetala",45.87,2.154,21.295,342.537,16.086,0.134
"34","Paracou","Bottom","2","2019","Dry","44","Down","NP","Gustavia","hexapetala",44.838,2.097,21.386,691.052,32.314,0.065
"35","Paracou","Bottom","2","2019","Wet","44","Top","NP","Gustavia","hexapetala",48.106,2.188,21.983,713.803,32.471,0.067
"36","Paracou","Bottom","2","2019","Wet","44","Down","NP","Gustavia","hexapetala",47.269,2.137,22.118,770.311,34.828,0.061
"37","Paracou","Bottom","3","2019","Dry","47","Top","P","Eperua","falcata",50.549,1.42,35.591,538.368,15.127,0.094
"38","Paracou","Bottom","3","2019","Dry","47","Down","P","Eperua","falcata",51.623,1.559,33.108,595.051,17.973,0.087
"39","Paracou","Slope","3","2019","Dry","49","Top","P","Eperua","grandiflora",49.401,1.176,42.006,828.22,19.717,0.06
"40","Paracou","Slope","3","2019","Dry","49","Down","P","Eperua","grandiflora",49.58,1.135,43.674,922.749,21.128,0.054
"41","Paracou","Slope","3","2019","Wet","49","Top","P","Eperua","grandiflora",53.753,1.097,48.98,1179.144,24.074,0.046
"42","Paracou","Slope","3","2019","Wet","49","Down","P","Eperua","grandiflora",53.449,1.236,43.239,1113.146,25.744,0.048
"43","Nouragues","Bottom","1","2019","Dry","50","Top","N","Eschweilera","coriacea",49.352,1.956,25.226,984.357,39.021,0.05
"44","Nouragues","Bottom","1","2019","Dry","50","Down","N","Eschweilera","coriacea",48.37,1.964,24.628,800.335,32.496,0.06
"45","Nouragues","Bottom","1","2019","Wet","50","Top","N","Eschweilera","coriacea",49.697,2.097,23.698,922.754,38.938,0.054
"46","Nouragues","Bottom","1","2019","Wet","50","Down","N","Eschweilera","coriacea",49.192,1.909,25.765,915.785,35.544,0.054
"47","Nouragues","Top","1","2019","Dry","50","Top","N","Chrysophyllum","argenteum",49.625,1.169,42.437,1395.939,32.894,0.036
"48","Nouragues","Top","1","2019","Dry","50","Down","N","Chrysophyllum","argenteum",47.988,1.185,40.492,1100.076,27.168,0.044
"49","Nouragues","Top","1","2019","Wet","50","Top","N","Chrysophyllum","argenteum",47.029,1.117,42.105,1293.201,30.713,0.036
"50","Nouragues","Top","1","2019","Wet","50","Down","N","Chrysophyllum","argenteum",47.025,1.238,37.99,1240.633,32.656,0.038
"51","Paracou","Top","1","2019","Wet","50","Top","N","Oxandra","asbeckii",49.538,2.204,22.481,933.929,41.543,0.053
"52","Paracou","Top","1","2019","Wet","50","Down","N","Oxandra","asbeckii",48.888,2.085,23.442,895.85,38.215,0.055
"53","Paracou","Top","1","2019","Dry","50","Top","N","Oxandra","asbeckii",NA,NA,NA,0,0,0.043
"54","Paracou","Top","1","2019","Dry","50","Down","N","Oxandra","asbeckii",46.419,2.091,22.198,1141.935,51.442,0.041
"55","Nouragues","Bottom","1","2019","Dry","51","Top","N","Osteophleum","platyspermum",49.106,2.282,21.517,720.34,33.478,0.068
"56","Nouragues","Bottom","1","2019","Dry","51","Down","N","Osteophleum","platyspermum",49.047,2.55,19.231,627.821,32.646,0.078
"57","Nouragues","Bottom","1","2019","Wet","51","Top","N","Osteophleum","platyspermum",50.158,2.548,19.686,682.037,34.647,0.074
"58","Nouragues","Bottom","1","2019","Wet","51","Down","N","Osteophleum","platyspermum",49.833,2.176,22.903,736.984,32.179,0.068
"59","Nouragues","Top","1","2019","Dry","51","Top","N","Hymanea","courbaril",51.049,1.321,38.644,868.52,22.475,0.059
"60","Nouragues","Top","1","2019","Dry","51","Down","N","Hymanea","courbaril",51.309,1.427,35.965,800.77,22.266,0.064
"61","Nouragues","Top","1","2019","Wet","51","Top","N","Hymanea","courbaril",49.757,1.388,35.846,735.699,20.524,0.068
"62","Nouragues","Top","1","2019","Wet","51","Down","N","Hymanea","courbaril",49.034,1.386,35.376,659.159,18.633,0.074
"63","Paracou","Top","1","2019","Wet","51","Top","N","Eperua","grandiflora",47.872,1.158,41.347,2105.129,50.914,0.023
"64","Paracou","Top","1","2019","Wet","51","Down","N","Eperua","grandiflora",53.589,1.359,39.439,1247.661,31.635,0.043
"65","Paracou","Top","1","2019","Dry","51","Top","N","Eperua","grandiflora",53.82,1.436,37.492,1270.619,33.891,0.042
"66","Paracou","Top","1","2019","Dry","51","Down","N","Eperua","grandiflora",53.229,1.155,46.095,1195.551,25.937,0.045
"67","Nouragues","Top","1","2019","Dry","54","Top","N","Dicorynia","guianensis",51.517,2.054,25.086,799.97,31.889,0.064
"68","Nouragues","Top","1","2019","Dry","54","Down","N","Dicorynia","guianensis",51.216,2.72,18.833,704.691,37.419,0.073
"69","Nouragues","Top","1","2019","Wet","54","Top","N","Dicorynia","guianensis",50.462,2.226,22.674,734.119,32.377,0.069
"70","Nouragues","Top","1","2019","Wet","54","Down","N","Dicorynia","guianensis",49.61,2.503,19.819,684.046,34.514,0.073
"71","Paracou","Top","1","2019","Wet","54","Top","N","Lecythis","idatimon",51.553,1.954,26.381,1113.046,42.191,0.046
"72","Paracou","Top","1","2019","Wet","54","Down","N","Lecythis","idatimon",51.936,2.348,22.117,1290.175,58.333,0.04
"73","Paracou","Top","1","2019","Dry","54","Top","N","Lecythis","idatimon",51.062,2.162,23.618,981.713,41.565,0.052
"74","Paracou","Top","1","2019","Dry","54","Down","N","Lecythis","idatimon",50.367,2.275,22.139,748.873,33.826,0.067
"75","Nouragues","Bottom","3","2019","Dry","54","Top","P","Alexa","wachenheimii",50.822,2.681,18.956,306.95,16.193,0.166
"76","Nouragues","Bottom","3","2019","Dry","54","Down","P","Alexa","wachenheimii",49.537,2.423,20.443,300.822,14.715,0.165
"77","Nouragues","Bottom","3","2019","Wet","54","Top","P","Alexa","wachenheimii",51.154,2.442,20.948,444.517,21.22,0.115
"78","Nouragues","Bottom","3","2019","Wet","54","Down","P","Alexa","wachenheimii",49.595,2.12,23.398,440.718,18.835,0.113
"79","Paracou","Bottom","3","2019","Dry","55","Top","P","Dipteryx","odorata",49.059,1.439,34.091,611.758,17.945,0.08
"80","Paracou","Bottom","3","2019","Dry","55","Down","P","Dipteryx","odorata",48.393,1.326,36.5,691.53,18.946,0.07
"81","Paracou","Bottom","3","2019","Wet","55","Top","P","Dipteryx","odorata",49.168,1.355,36.286,719.729,19.835,0.068
"82","Paracou","Bottom","3","2019","Wet","55","Down","P","Dipteryx","odorata",48.986,1.428,34.315,563.596,16.424,0.087
"83","Paracou","Slope","2","2019","Dry","56","Top","NP","Vouacapoua","americana",50.118,2.79,17.964,374.231,20.833,0.134
"84","Paracou","Slope","2","2019","Dry","56","Down","NP","Vouacapoua","americana",50.052,3.354,14.923,205.551,13.774,0.244
"85","Paracou","Slope","2","2019","Wet","56","Top","NP","Vouacapoua","americana",54.182,2.696,20.099,366.217,18.221,0.148
"86","Paracou","Slope","2","2019","Wet","56","Down","NP","Vouacapoua","americana",53.962,2.289,23.576,407.948,17.303,0.132
"87","Paracou","Bottom","3","2019","Dry","56","Top","P","Eschweilera",NA,49.058,1.409,34.806,525.577,15.1,0.093
"88","Paracou","Bottom","3","2019","Dry","56","Down","P","Eschweilera",NA,48.111,1.191,40.408,508.617,12.587,0.095
"89","Paracou","Bottom","3","2019","Wet","56","Top","P","Eschweilera",NA,47.792,1.35,35.41,903.719,25.521,0.053
"90","Paracou","Bottom","3","2019","Wet","56","Down","P","Eschweilera",NA,46.964,1.334,35.204,835.418,23.731,0.056
"91","Paracou","Top","2","2019","Wet","58","Top","NP","Sterculia","pruriens",51.049,2.099,24.324,236.348,9.717,0.216
"92","Paracou","Top","2","2019","Wet","58","Down","NP","Sterculia","pruriens",50.245,2.33,21.56,221.049,10.253,0.227
"93","Paracou","Top","2","2019","Dry","58","Top","NP","Sterculia","pruriens",49.97,1.817,27.501,598.668,21.769,0.083
"94","Paracou","Top","2","2019","Dry","58","Down","NP","Sterculia","pruriens",49.351,1.751,28.178,586.991,20.831,0.084
"95","Nouragues","Slope","3","2019","Dry","58","Top","P","Eugenia","culcullata",47.96,1.007,47.612,1465.317,30.776,0.033
"96","Nouragues","Slope","3","2019","Dry","58","Down","P","Eugenia","culcullata",46.259,1.072,43.154,944.236,21.881,0.049
"97","Nouragues","Slope","3","2019","Wet","58","Top","P","Eugenia","culcullata",51.35,0.868,59.167,762.252,12.883,0.067
"98","Nouragues","Slope","3","2019","Wet","58","Down","P","Eugenia","culcullata",49.434,1.018,48.545,1169.604,24.093,0.042
"99","Nouragues","Slope","2","2019","Dry","59","Top","NP","Sterculia","speciosa",49.125,1.576,31.175,528.804,16.962,0.093
"100","Nouragues","Slope","2","2019","Dry","59","Down","NP","Sterculia","speciosa",48.547,1.789,27.142,290.713,10.711,0.167
"101","Nouragues","Slope","2","2019","Wet","59","Top","NP","Sterculia","speciosa",51.906,1.424,36.443,646.302,17.735,0.08
"102","Nouragues","Slope","2","2019","Wet","59","Down","NP","Sterculia","speciosa",49.713,1.55,32.076,700.892,21.851,0.071
"103","Nouragues","Top","2","2019","Dry","59","Top","NP","Tovomita",NA,NA,NA,NA,NA,NA,NA
"104","Paracou","Bottom","3","2019","Dry","59","Top","P","Tovomita",NA,47.806,1.168,40.924,1012.283,24.736,0.047
"105","Paracou","Bottom","3","2019","Dry","59","Down","P","Tovomita",NA,47.294,1.142,41.414,892.978,21.562,0.053
"106","Paracou","Bottom","3","2019","Wet","59","Top","P","Tovomita",NA,47.654,1.411,33.766,885.539,26.226,0.054
"107","Paracou","Bottom","3","2019","Wet","59","Down","P","Tovomita",NA,45.68,1.357,33.654,730.284,21.7,0.063
"108","Nouragues","Top","3","2019","Dry","59","Down","P","Caryocar","glabrum",52.258,1.142,45.758,1080.225,23.607,0.048
"109","Nouragues","Top","3","2019","Wet","59","Top","P","Caryocar","glabrum",51.11,1.32,38.731,811.861,20.961,0.063
"110","Nouragues","Top","3","2019","Wet","59","Down","P","Caryocar","glabrum",52.448,1.387,37.803,788.022,20.846,0.067
"111","Nouragues","Slope","2","2019","Dry","60","Top","NP","Ferdinandusa","paraensis",47.634,1.528,31.176,920.236,29.518,0.052
"112","Nouragues","Slope","2","2019","Dry","60","Down","NP","Ferdinandusa","paraensis",46.936,1.525,30.77,884.019,28.73,0.053
"113","Nouragues","Slope","2","2019","Wet","60","Top","NP","Ferdinandusa","paraensis",48.497,1.576,30.763,868.133,28.22,0.056
"114","Nouragues","Slope","2","2019","Wet","60","Down","NP","Ferdinandusa","paraensis",47.716,1.441,33.122,956.759,28.886,0.05
"115","Paracou","Top","2","2019","Wet","60","Top","NP","Eperua","grandiflora",52.865,1.451,36.423,576.902,15.839,0.092
"116","Paracou","Top","2","2019","Wet","60","Down","NP","Eperua","grandiflora",52.394,1.389,37.711,1041.004,27.605,0.05
"117","Paracou","Top","2","2019","Dry","60","Top","NP","Eperua","grandiflora",51.872,1.592,32.576,861.002,26.431,0.06
"118","Paracou","Top","2","2019","Dry","60","Down","NP","Eperua","grandiflora",50.672,1.498,33.835,826.62,24.431,0.061
"119","Nouragues","Top","3","2019","Dry","60","Top","P","Hirtella","bicornis",50.368,1.306,38.556,1223.21,31.725,0.041
"120","Nouragues","Top","3","2019","Dry","60","Down","P","Hirtella","bicornis",48.829,1.156,42.243,1156.912,27.387,0.042
